method,budget_fraction,cost_ratio,base_cost_total,aigc_unit_cost,status,objective_normalized,budget,full_budget,total_payment,budget_utilization,active_clients,raw_clients,interior_clients,full_clients,active_original_samples,synthetic_samples_proxy,total_augmented_samples_proxy,mean_u_active,active_indices,u,missing_ratio,full_synthetic_n,normalized_absolute_gap,solver_failures
continuous,0.02,0.25,0.25,1.0,ok,1.8137204598611263,0.06353333333333333,3.1766666666666667,0.0635333333333333,0.9999999999999996,2,0,2,0,7184,785.2058346522753,7969.205834652275,0.12171619785290527,"[0, 3]","[0.12757864753942938, 0.0, 0.0, 0.11585374816638117, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",8.881784197001252e-16,0
three_state,0.02,0.25,0.25,1.0,ok,2.355510089250443,0.06353333333333333,3.1766666666666667,0.03991111111111111,0.6281916754109829,2,2,0,0,7184,0.0,7184.0,0.0,"[0, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
no_aigc,0.02,0.25,0.25,1.0,ok,2.355510089250443,0.06353333333333333,3.1766666666666667,0.03991111111111111,0.6281916754109829,2,2,0,0,7184,0.0,7184.0,0.0,"[0, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
continuous,0.04,0.25,0.25,1.0,ok,0.8439104508261884,0.12706666666666666,3.1766666666666667,0.12706666666666666,1.0,1,0,1,0,3049,2708.776624720396,5757.776624720396,0.5819877215320558,[3],"[0.0, 0.0, 0.0, 0.5819877215320558, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",1.454392162258955e-13,0
three_state,0.04,0.25,0.25,1.0,ok,1.0980927278952297,0.12706666666666666,3.1766666666666667,0.11539444444444445,0.908140958377055,2,2,0,0,20771,0.0,20771.0,0.0,"[4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
no_aigc,0.04,0.25,0.25,1.0,ok,1.0980927278952297,0.12706666666666666,3.1766666666666667,0.11539444444444445,0.908140958377055,2,2,0,0,20771,0.0,20771.0,0.0,"[4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
continuous,0.06,0.25,0.25,1.0,ok,0.2881545550616118,0.1906,3.1766666666666667,0.1905999999999999,0.9999999999999996,1,0,1,0,3049,4800.053379729683,7849.053379729683,0.7565266402345528,[3],"[0.0, 0.0, 0.0, 0.7565266402345528, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",3.164135620181696e-15,1
three_state,0.06,0.25,0.25,1.0,ok,0.5866558326429462,0.1906,3.1766666666666667,0.1866888888888889,0.9794800046636354,4,4,0,0,33604,0.0,33604.0,0.0,"[0, 1, 3, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
no_aigc,0.06,0.25,0.25,1.0,ok,0.5866558326429462,0.1906,3.1766666666666667,0.1866888888888889,0.9794800046636354,4,4,0,0,33604,0.0,33604.0,0.0,"[0, 1, 3, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",0.0,0
continuous,0.08,0.25,0.25,1.0,ok,0.049387954438250295,0.2541333333333333,3.1766666666666667,0.2541333333333334,1.0000000000000002,1,0,1,0,3049,8195.286357960993,11244.286357960993,0.90162859611587,[3],"[0.0, 0.0, 0.0, 0.90162859611587, 0.0, 0.0]","[4.006045949214026, 3.012678588324344, 4.467881408276714, 4.218104296490653, 3.7662601626016254, 1.4490568418396315]","[16564.999999999996, 31840.999999999993, 28934.0, 12861.0, 18529.999999999996, 22969.0]",1.1245171460672054e-13,3
