dataset,model,alpha,budget_fraction,method,seeds,mean_test_acc_pct,std_test_acc_pp
cifar100,cnn,0.3,0.4,continuous,1,1.01,
cifar100,cnn,0.3,0.4,public_price,1,1.01,
cifar100,cnn,0.3,0.4,three_state,1,0.9900000000000001,
fmnist,cnn,0.3,0.4,continuous,1,8.48,
fmnist,cnn,0.3,0.4,fedavg_all,1,16.869999999999997,
fmnist,cnn,0.3,0.4,no_aigc_budget,1,7.01,
fmnist,cnn,0.3,0.4,public_price,1,17.32,
fmnist,cnn,0.3,0.4,random_budget,1,8.61,
fmnist,cnn,0.3,0.4,selected_no_aigc,1,16.869999999999997,
fmnist,cnn,0.3,0.4,synthetic_only,1,17.64,
fmnist,cnn,0.3,0.4,three_state,1,10.440000000000001,
