method,budget_fraction,generator_gap_ratio,status,objective_normalized,label_component,generator_component,noise_component,active_clients,raw_clients,interior_clients,full_clients,mean_u_active,budget,full_budget,total_payment,budget_utilization,active_original_samples,synthetic_samples_proxy,active_indices,u,normalized_absolute_gap,solver_failures
continuous,0.02,0.0,ok,7.325863827480157,7.32305690618726,0.0,0.002806921292897905,1,0,1,0,0.12784129939930267,0.07853333333333333,3.9266666666666663,0.07853333333333333,1.0,3049,351.4035961540783,[3],"[0.0, 0.0, 0.0, 0.12784129939930267, 0.0, 0.0]",8.171241461241152e-14,0
three_state,0.02,0.0,ok,9.63003750224568,9.627230580952782,0.0,0.002806921292897905,1,1,0,0,0.0,0.07853333333333333,3.9266666666666663,0.06775555555555555,0.8627617430673458,3049,0.0,[3],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.02,0.0,ok,9.63003750224568,9.627230580952782,0.0,0.002806921292897905,1,1,0,0,0.0,0.07853333333333333,3.9266666666666663,0.06775555555555555,0.8627617430673458,3049,0.0,[3],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.04,0.0,ok,2.2728197701839083,2.2700128488910103,0.0,0.002806921292897905,1,0,1,0,0.5144170034086041,0.15706666666666666,3.9266666666666663,0.15706666666666663,0.9999999999999998,3049,2170.405768371837,[3],"[0.0, 0.0, 0.0, 0.5144170034086041, 0.0, 0.0]",1.7763568394002505e-15,1
three_state,0.04,0.0,ok,7.735985072826171,7.733178151533274,0.0,0.002806921292897905,1,1,0,0,0.0,0.15706666666666666,3.9266666666666663,0.0918888888888889,0.5850311262026033,4135,0.0,[0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.04,0.0,ok,7.735985072826171,7.733178151533274,0.0,0.002806921292897905,1,1,0,0,0.0,0.15706666666666666,3.9266666666666663,0.0918888888888889,0.5850311262026033,4135,0.0,[0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.06,0.0,ok,0.6435321920766747,0.6407252707837767,0.0,0.002806921292897905,1,0,1,0,0.7420204743938174,0.23559999999999998,3.9266666666666663,0.23559999999999998,1.0,3049,4570.058399462952,[3],"[0.0, 0.0, 0.0, 0.7420204743938174, 0.0, 0.0]",1.2145839889399213e-13,1
three_state,0.06,0.0,ok,4.70835205661897,4.705683934737053,0.0,0.0026681218819164763,2,2,0,0,0.0,0.23559999999999998,3.9266666666666663,0.15964444444444445,0.6776079984908508,7184,0.0,"[0, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.06,0.0,ok,4.70835205661897,4.705683934737053,0.0,0.0026681218819164763,2,2,0,0,0.0,0.23559999999999998,3.9266666666666663,0.15964444444444445,0.6776079984908508,7184,0.0,"[0, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.08,0.0,ok,0.06300000453994811,0.0601930832470502,0.0,0.002806921292897905,1,0,1,0,0.9209280210782067,0.3141333333333333,3.9266666666666663,0.3141333333333332,0.9999999999999997,3049,8881.705735001991,[3],"[0.0, 0.0, 0.0, 0.9209280210782067, 0.0, 0.0]",1.8118700984004477e-12,1
three_state,0.08,0.0,ok,3.7890528505601884,3.7864259832029625,0.0,0.0026268673572258368,3,3,0,0,0.0,0.3141333333333333,3.9266666666666663,0.3035555555555556,0.9663271080928127,13660,0.0,"[0, 2, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.08,0.0,ok,3.7890528505601884,3.7864259832029625,0.0,0.0026268673572258368,3,3,0,0,0.0,0.3141333333333333,3.9266666666666663,0.3035555555555556,0.9663271080928127,13660,0.0,"[0, 2, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.1,0.0,ok,0.002806921292897905,1.4703040728548482e-24,0.0,0.002806921292897905,1,0,0,1,0.9999999999996092,0.39266666666666666,3.9266666666666663,0.35355555555535356,0.9003961516689819,3049,12860.999999973777,[3],"[0.0, 0.0, 0.0, 0.9999999999996092, 0.0, 0.0]",0.0,6
three_state,0.1,0.0,ok,0.002806921292897905,0.0,0.0,0.002806921292897905,1,0,0,1,1.0,0.39266666666666666,3.9266666666666663,0.3535555555555555,0.9003961516694963,3049,12861.0,[3],"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0,0
