dataset,model,alpha,budget_fraction,baseline,paired_seeds,mean_delta_pp,ci95_low_pp,ci95_high_pp
cifar10,cnn,0.3,0.4,fedavg_all,[0],-0.8300000000000002,,
cifar10,cnn,0.3,0.4,no_aigc_budget,[0],-1.7799999999999996,,
cifar10,cnn,0.3,0.4,public_price,[0],0.8100000000000009,,
cifar10,cnn,0.3,0.4,random_budget,[0],-0.4299999999999998,,
cifar10,cnn,0.3,0.4,selected_no_aigc,[0],-1.21,,
cifar10,cnn,0.3,0.4,synthetic_only,[0],-0.7099999999999995,,
cifar10,cnn,0.3,0.4,three_state,[0],0.30000000000000027,,
cifar100,cnn,0.3,0.4,fedavg_all,[0],-0.030000000000000165,,
cifar100,cnn,0.3,0.4,public_price,[0],-0.040000000000000105,,
cifar100,cnn,0.3,0.4,random_budget,[0],-0.030000000000000165,,
cifar100,cnn,0.3,0.4,selected_no_aigc,[0],-0.050000000000000044,,
cifar100,cnn,0.3,0.4,synthetic_only,[0],-0.030000000000000165,,
cifar100,cnn,0.3,0.4,three_state,[0],-0.010000000000000113,,
fmnist,cnn,0.3,0.4,fedavg_all,[0],1.0200000000000014,,
fmnist,cnn,0.3,0.4,no_aigc_budget,[0],2.9300000000000006,,
fmnist,cnn,0.3,0.4,public_price,[0],2.600000000000001,,
fmnist,cnn,0.3,0.4,random_budget,[0],-0.40000000000000036,,
fmnist,cnn,0.3,0.4,selected_no_aigc,[0],2.87,,
fmnist,cnn,0.3,0.4,synthetic_only,[0],1.7900000000000014,,
fmnist,cnn,0.3,0.4,three_state,[0],0.0,,
