dataset,model,alpha,budget_fraction,method,seeds,mean_test_acc_pct,std_test_acc_pp
cifar10,cnn,0.3,0.4,continuous,1,8.49,
cifar10,cnn,0.3,0.4,fedavg_all,1,9.32,
cifar10,cnn,0.3,0.4,no_aigc_budget,1,10.27,
cifar10,cnn,0.3,0.4,public_price,1,7.68,
cifar10,cnn,0.3,0.4,random_budget,1,8.92,
cifar10,cnn,0.3,0.4,selected_no_aigc,1,9.700000000000001,
cifar10,cnn,0.3,0.4,synthetic_only,1,9.2,
cifar10,cnn,0.3,0.4,three_state,1,8.19,
cifar100,cnn,0.3,0.4,continuous,1,0.96,
cifar100,cnn,0.3,0.4,fedavg_all,1,0.9900000000000001,
cifar100,cnn,0.3,0.4,public_price,1,1.0,
cifar100,cnn,0.3,0.4,random_budget,1,0.9900000000000001,
cifar100,cnn,0.3,0.4,selected_no_aigc,1,1.01,
cifar100,cnn,0.3,0.4,synthetic_only,1,0.9900000000000001,
cifar100,cnn,0.3,0.4,three_state,1,0.97,
fmnist,cnn,0.3,0.4,continuous,1,12.870000000000001,
fmnist,cnn,0.3,0.4,fedavg_all,1,11.85,
fmnist,cnn,0.3,0.4,no_aigc_budget,1,9.94,
fmnist,cnn,0.3,0.4,public_price,1,10.27,
fmnist,cnn,0.3,0.4,random_budget,1,13.270000000000001,
fmnist,cnn,0.3,0.4,selected_no_aigc,1,10.0,
fmnist,cnn,0.3,0.4,synthetic_only,1,11.08,
fmnist,cnn,0.3,0.4,three_state,1,12.870000000000001,
