dataset,model,alpha,budget_fraction,method,seeds,mean_test_acc_pct,std_test_acc_pp
cifar10,cnn,0.3,0.4,continuous,5,34.562,1.0709201650916829
cifar10,cnn,0.3,0.4,fedavg_all,5,33.028,1.0755556703397544
cifar10,cnn,0.3,0.4,no_aigc_budget,5,30.369999999999997,1.31797192686339
cifar10,cnn,0.3,0.4,public_price,5,30.720000000000006,1.2510595509407216
cifar10,cnn,0.3,0.4,random_budget,5,31.338,1.2531041457117604
cifar10,cnn,0.3,0.4,selected_no_aigc,5,23.422000000000004,0.9932371318069012
cifar10,cnn,0.3,0.4,synthetic_only,5,34.348,0.45356366697520956
cifar10,cnn,0.3,0.4,three_state,5,34.751999999999995,0.7280590635381158
cifar100,cnn,0.3,0.4,continuous,5,2.844,0.7378888805233482
cifar100,cnn,0.3,0.4,fedavg_all,5,5.86,0.7334166619323562
cifar100,cnn,0.3,0.4,public_price,5,4.9959999999999996,0.4574713105758654
cifar100,cnn,0.3,0.4,random_budget,5,3.222,0.5486073276944085
cifar100,cnn,0.3,0.4,selected_no_aigc,5,4.242,0.4845307007816946
cifar100,cnn,0.3,0.4,synthetic_only,5,3.434,0.6553472362038312
cifar100,cnn,0.3,0.4,three_state,5,3.002,0.7847101375667322
fmnist,cnn,0.3,0.4,continuous,5,74.03799999999998,1.2824078914292387
fmnist,cnn,0.3,0.4,fedavg_all,5,72.892,0.9718641880427544
fmnist,cnn,0.3,0.4,no_aigc_budget,5,60.06,2.0403798665934714
fmnist,cnn,0.3,0.4,public_price,5,73.486,0.5946679745874986
fmnist,cnn,0.3,0.4,random_budget,5,72.94000000000001,1.3490366933482594
fmnist,cnn,0.3,0.4,selected_no_aigc,5,69.6,1.15286599394726
fmnist,cnn,0.3,0.4,synthetic_only,5,74.756,0.3141337294847552
fmnist,cnn,0.3,0.4,three_state,5,74.03799999999998,1.2824078914292387
