dataset,model,alpha,budget_fraction,baseline,paired_seeds,mean_delta_pp,ci95_low_pp,ci95_high_pp
cifar10,cnn,0.3,0.4,fedavg_all,"[0, 1, 2, 3, 4]",1.118000000000001,-0.5311102324160879,2.7671102324160897
cifar10,cnn,0.3,0.4,full_balance_all,"[0, 1, 2, 3, 4]",-0.12399999999999967,-0.8684601500851629,0.6204601500851635
cifar10,cnn,0.3,0.4,no_aigc_budget,"[0, 1, 2, 3, 4]",4.992000000000002,2.5836935268613996,7.400306473138604
cifar10,cnn,0.3,0.4,public_price,"[0, 1, 2, 3, 4]",3.118000000000002,2.011058112480745,4.224941887519259
cifar10,cnn,0.3,0.4,random_budget,"[0, 1, 2, 3, 4]",2.834,0.9382429568698465,4.729757043130154
cifar10,cnn,0.3,0.4,selected_no_aigc,"[0, 1, 2, 3, 4]",11.308000000000002,10.322053107654279,12.293946892345724
cifar10,cnn,0.3,0.4,three_state,"[0, 1, 2, 3, 4]",-0.045999999999999375,-0.5495709141719056,0.4575709141719069
cifar100,cnn,0.3,0.4,fedavg_all,"[0, 1, 2, 3, 4]",-3.156,-3.8085295771161327,-2.5034704228838676
cifar100,cnn,0.3,0.4,full_balance_all,"[0, 1, 2, 3, 4]",-0.5479999999999999,-1.0977361308291638,0.0017361308291640176
cifar100,cnn,0.3,0.4,public_price,"[0, 1, 2, 3, 4]",-2.06,-2.5675657561825354,-1.5524342438174645
cifar100,cnn,0.3,0.4,random_budget,"[0, 1, 2, 3, 4]",-0.36599999999999994,-0.8714807884138354,0.13948078841383543
cifar100,cnn,0.3,0.4,selected_no_aigc,"[0, 1, 2, 3, 4]",-1.534,-2.167224292262978,-0.9007757077370222
cifar100,cnn,0.3,0.4,three_state,"[0, 1, 2, 3, 4]",-0.05399999999999996,-0.4325140961557155,0.32451409615571564
fmnist,cnn,0.3,0.4,fedavg_all,"[0, 1, 2, 3, 4]",2.3320000000000007,2.2344681030689646,2.429531896931037
fmnist,cnn,0.3,0.4,full_balance_all,"[0, 1, 2, 3, 4]",-0.4499999999999993,-0.818755393895735,-0.0812446061042636
fmnist,cnn,0.3,0.4,no_aigc_budget,"[0, 1, 2, 3, 4]",14.134000000000004,13.06990771769839,15.198092282301618
fmnist,cnn,0.3,0.4,public_price,"[0, 1, 2, 3, 4]",1.816000000000002,1.3872571791513835,2.2447428208486206
fmnist,cnn,0.3,0.4,random_budget,"[0, 1, 2, 3, 4]",1.9000000000000017,1.3589848961257611,2.4410151038742423
fmnist,cnn,0.3,0.4,selected_no_aigc,"[0, 1, 2, 3, 4]",5.668000000000002,4.9713169470340635,6.36468305296594
fmnist,cnn,0.3,0.4,three_state,"[0, 1, 2, 3, 4]",0.0,0.0,0.0
