dataset,model,alpha,budget_fraction,method,seeds,mean_test_acc_pct,std_test_acc_pp
cifar10,cnn,0.3,0.4,continuous,5,34.538000000000004,1.2756449349250747
cifar10,cnn,0.3,0.4,fedavg_all,5,33.42,0.640624695121878
cifar10,cnn,0.3,0.4,full_balance_all,5,34.662,1.721545816991228
cifar10,cnn,0.3,0.4,no_aigc_budget,5,29.546,1.1066526103524985
cifar10,cnn,0.3,0.4,public_price,5,31.419999999999998,1.2086149097210432
cifar10,cnn,0.3,0.4,random_budget,5,31.703999999999997,0.5109598810082829
cifar10,cnn,0.3,0.4,selected_no_aigc,5,23.229999999999997,1.576467570234161
cifar10,cnn,0.3,0.4,three_state,5,34.583999999999996,1.2191103313482314
cifar100,cnn,0.3,0.4,continuous,5,2.862,0.41099878345318724
cifar100,cnn,0.3,0.4,fedavg_all,5,6.018000000000001,0.8338884817528062
cifar100,cnn,0.3,0.4,full_balance_all,5,3.41,0.8283417169260521
cifar100,cnn,0.3,0.4,public_price,5,4.922,0.4901734386928772
cifar100,cnn,0.3,0.4,random_budget,5,3.228,0.5873840311074178
cifar100,cnn,0.3,0.4,selected_no_aigc,5,4.395999999999999,0.5457380323928324
cifar100,cnn,0.3,0.4,three_state,5,2.916,0.5260038022676262
fmnist,cnn,0.3,0.4,continuous,5,75.184,0.6577841591282063
fmnist,cnn,0.3,0.4,fedavg_all,5,72.852,0.7018333135438971
fmnist,cnn,0.3,0.4,full_balance_all,5,75.634,0.46236349336858223
fmnist,cnn,0.3,0.4,no_aigc_budget,5,61.05,0.7672352963726294
fmnist,cnn,0.3,0.4,public_price,5,73.36800000000001,0.3904740708420928
fmnist,cnn,0.3,0.4,random_budget,5,73.28399999999999,0.7589005204900057
fmnist,cnn,0.3,0.4,selected_no_aigc,5,69.51599999999999,1.0938829919145838
fmnist,cnn,0.3,0.4,three_state,5,75.184,0.6577841591282063
